Site,Latitude,Longitude,Valley
hall,40.7595,-111.861,SLV
bowling,40.7397,-111.8581,SLV
eiriksson,40.7752,-111.8896,SLV
schulze,40.7365,-111.8716,SLV
GIRF,40.7602,-111.83,SLV
todd,40.7892,-111.7967,SLV
USU,41.7433,-111.8104,CV
mendon,41.7206,-111.8867,CV
waterlab,41.7396,-111.795,CV
tonygrove,41.8853,-111.5683,CV
tarboton,41.737,-111.7946,CV
greenstrong,41.7478,-111.8244,CV
