Site,Date,Watershed,Rain/Snow,Precipitation.cm,NH4N.mgl,NO3N.mgl,NO2N.mgl,SO4S.mgl,PO4.mgl,Cl.mgl,F.mgl,Mg.mgl,Ca.mgl,K.mgl,Na.mgl,,,,,,,,,,
schulze,140627,Salt Lake,rain,0.39,0.07,0.48,0.39,1.34,0.00,7.98,0.12,1.08,9.15,2.19,4.67,,,,,,,,,,
schulze,140710,Salt Lake,rain,0.15,0.02,0.35,0.02,1.30,0.00,5.15,0.28,1.55,14.01,5.50,3.13,,,,,,,,,,
schulze,140720,Salt Lake,rain,0.29,0.00,1.53,0.01,1.44,0.00,9.73,0.15,1.22,12.37,3.23,5.76,,,,,,,,,,
schulze,140729,Salt Lake,rain,1.75,0.76,0.72,0.01,0.54,0.00,0.91,0.04,0.44,4.24,0.66,0.60,,,,,,,,,,
schulze,140730,Salt Lake,rain,1.01,0.39,0.51,0.01,0.44,0.04,0.33,0.02,0.27,4.00,0.82,0.21,,,,,,,,,,
schulze,140804,Salt Lake,rain,0.48,0.23,0.68,0.03,1.46,0.00,5.16,0.06,0.76,6.42,1.54,0.94,,,,,,,,,,
schulze,140806,Salt Lake,rain,1.22,0.49,0.27,0.01,0.25,0.00,0.31,0.02,0.15,1.59,0.28,0.18,,,,,,,,,,
schulze,140813,Salt Lake,rain,1.17,0.18,0.55,0.01,1.74,0.00,9.83,0.08,1.04,6.08,0.91,5.92,,,,,,,,,,
schulze,140814,Salt Lake,rain,0.74,0.50,0.26,0.01,0.59,0.00,0.71,0.01,0.26,1.52,0.17,0.46,,,,,,,,,,
schulze,140820,Salt Lake,rain,1.77,0.46,0.39,0.01,0.56,0.01,0.79,0.01,0.28,1.66,0.09,0.38,,,,,,,,,,
schulze,140823,Salt Lake,rain,1.20,0.65,0.62,0.01,0.42,0.00,1.02,0.02,0.17,1.82,0.16,0.63,,,,,,,,,,
schulze,140908,Salt Lake,rain,1.24,0.58,0.77,0.01,1.35,0.00,14.44,0.03,0.99,3.94,0.85,8.31,,,,,,,,,,
schulze,140909,Salt Lake,rain,3.98,0.33,0.15,0.01,0.16,0.00,1.03,0.01,0.10,1.16,0.08,0.23,,,,,,,,,,
schulze,140922,Salt Lake,rain,0.59,0.06,0.41,0.01,1.37,0.00,5.45,0.05,0.77,5.54,0.60,3.13,,,,,,,,,,
schulze,140928,Salt Lake,rain,3.75,0.12,0.13,0.01,0.18,0.00,0.54,0.01,0.21,2.05,0.12,0.34,,,,,,,,,,
schulze,141012,Salt Lake,rain,0.35,0.42,0.66,0.03,2.82,0.00,4.27,0.06,1.38,7.43,0.48,2.94,,,,,,,,,,
schulze,141103,Salt Lake,rain,0.25,0.11,0.83,0.03,6.72,0.00,21.92,0.16,5.97,22.33,13.41,16.64,,,,,,,,,,
schulze,141115,Salt Lake,rain,0.39,0.17,0.67,0.07,1.59,0.00,7.49,0.13,1.00,8.79,1.93,5.08,,,,,,,,,,
schulze,141124,Salt Lake,rain,1.56,0.00,0.14,0.01,0.26,0.01,7.70,0.04,0.95,5.88,5.04,2.14,,,,,,,,,,
schulze,141214,Salt Lake,rain,0.71,0.01,0.02,0.00,1.70,0.02,19.85,0.71,4.50,14.20,13.84,3.74,,,,,,,,,,
schulze,141221,Salt Lake,rain,2.21,0.11,0.19,0.01,0.36,0.00,1.29,0.16,0.92,3.29,1.69,0.38,,,,,,,,,,
schulze,141226,Salt Lake,rain,0.53,0.30,0.16,0.01,0.25,0.00,3.54,0.01,0.09,0.97,0.00,2.02,,,,,,,,,,
schulze,141229,Salt Lake,rain,0.77,0.57,0.37,0.01,0.31,0.01,21.09,0.02,0.17,1.74,0.00,13.30,,,,,,,,,,
schulze,150111,Salt Lake,rain,1.44,0.33,0.42,0.05,2.13,0.02,20.73,0.31,1.69,9.70,2.93,18.69,,,,,,,,,,
schulze,150113,Salt Lake,rain,3.36,0.27,0.16,0.00,0.40,0.00,0.31,0.02,0.29,2.00,0.08,0.22,,,,,,,,,,
schulze,150120,Salt Lake,rain,0.03,0.09,0.10,0.01,0.17,0.00,1.43,0.02,0.31,2.73,0.09,0.63,,,,,,,,,,
schulze,150210,Salt Lake,rain,0.58,0.36,0.40,0.02,0.75,0.00,3.01,0.05,0.29,3.68,0.72,2.07,,,,,,,,,,
todd,131204,Salt Lake,snow,0.81,0.08,0.08,0.00,0.07,0.01,0.20,0.00,0.04,0.63,0.04,0.18,,,,,,,,,,
todd,131208,Salt Lake,snow,1.02,0.11,0.28,0.00,0.06,0.01,0.83,0.04,0.03,0.21,0.09,0.44,,,,,,,,,,
todd,131222,Salt Lake,snow,1.56,0.19,0.28,0.00,0.11,0.02,0.41,0.02,0.00,0.14,0.04,0.27,,,,,,,,,,
todd,140105,Salt Lake,snow,0.93,0.19,0.17,0.00,0.15,0.02,0.79,0.02,0.00,0.41,0.12,0.55,,,,,,,,,,
todd,140108,Salt Lake,snow,1.00,0.11,0.18,0.00,0.05,0.01,0.70,0.00,0.00,0.40,0.04,0.42,,,,,,,,,,
todd,140110,Salt Lake,snow,2.36,0.21,0.30,0.00,0.19,0.01,0.43,0.02,0.00,0.09,0.03,0.17,,,,,,,,,,
todd,140112,Salt Lake,snow,0.81,0.14,0.06,0.00,1.20,0.01,1.40,0.00,0.03,1.47,0.12,2.82,,,,,,,,,,
todd,140201,Salt Lake,snow,1.34,0.14,0.15,0.00,0.07,0.00,0.47,0.04,0.04,0.34,0.06,0.14,,,,,,,,,,
todd,140202,Salt Lake,snow,0.22,0.27,0.37,0.00,0.26,0.01,2.96,0.02,0.15,0.98,0.17,1.10,,,,,,,,,,
todd,140207,Salt Lake,snow,0.75,0.34,0.32,0.00,0.11,0.01,1.70,0.01,0.06,0.77,0.05,1.11,,,,,,,,,,
todd,140210,Salt Lake,snow,1.19,0.07,0.08,0.00,0.06,0.01,0.18,0.00,0.02,0.32,0.07,0.10,,,,,,,,,,
todd,140221,Salt Lake,snow,0.36,0.18,0.08,0.00,0.22,0.01,1.09,0.01,0.12,1.05,0.09,0.72,,,,,,,,,,
todd,140228,Salt Lake,snow,1.84,0.05,0.07,0.00,0.15,0.00,0.71,0.01,0.00,0.01,0.02,0.04,,,,,,,,,,
todd,140307,Salt Lake,snow,6.54,0.13,0.11,0.00,0.11,0.00,0.37,0.00,0.06,0.31,0.09,0.08,,,,,,,,,,
todd,140311,Salt Lake,snow,0.88,0.16,0.06,0.00,0.16,0.00,1.11,0.01,0.08,0.57,0.12,0.67,,,,,,,,,,
todd,140318,Salt Lake,snow,0.25,0.22,0.14,0.00,1.05,0.06,11.99,0.01,0.76,2.43,0.74,7.36,,,,,,,,,,
todd,140429,Salt Lake,rain,2.97,0.20,0.13,0.00,2.32,0.00,16.37,0.02,0.71,5.60,0.54,11.75,,,,,,,,,,
todd,140508,Salt Lake,rain,1.79,0.52,0.27,0.00,0.38,0.01,0.48,0.01,0.15,1.10,0.17,0.35,,,,,,,,,,
todd,140512,Salt Lake,rain,2.03,0.30,0.17,0.01,0.00,0.00,0.19,0.01,0.07,1.16,0.07,0.10,,,,,,,,,,
todd,140604,Salt Lake,rain,0.04,2.02,2.46,0.01,2.11,0.75,3.55,0.07,0.90,6.17,4.14,2.18,,,,,,,,,,
todd,140618,Salt Lake,rain,1.72,0.90,0.58,0.01,0.69,0.29,2.03,0.02,0.37,4.14,0.86,1.53,,,,,,,,,,
todd,140627,Salt Lake,rain,0.82,0.66,0.48,0.01,0.63,0.04,3.65,0.02,0.37,4.14,0.36,1.95,,,,,,,,,,
todd,140710,Salt Lake,rain,0.19,1.45,1.95,0.02,0.91,0.18,1.71,0.06,0.53,11.66,0.88,1.03,,,,,,,,,,
todd,140720,Salt Lake,rain,0.17,1.60,1.38,0.01,0.95,0.04,3.46,0.04,0.29,4.01,0.58,1.02,,,,,,,,,,
todd,140729,Salt Lake,rain,1.00,0.47,0.47,0.01,0.30,0.06,0.44,0.00,0.11,1.76,0.19,0.14,,,,,,,,,,
todd,140730,Salt Lake,rain,1.61,0.57,0.40,0.01,0.25,0.01,0.14,0.00,0.00,0.77,0.03,0.05,,,,,,,,,,
todd,140804,Salt Lake,rain,0.62,0.63,0.53,0.01,0.42,0.04,0.17,0.00,0.11,1.15,0.11,0.06,,,,,,,,,,
todd,140806,Salt Lake,rain,1.05,0.64,0.36,0.01,0.20,0.00,0.25,0.01,0.06,0.56,0.07,0.09,,,,,,,,,,
todd,140813,Salt Lake,rain,1.74,0.43,0.26,0.00,0.39,0.00,3.41,0.01,0.31,1.88,0.18,2.03,,,,,,,,,,
todd,140814,Salt Lake,rain,0.59,0.51,0.27,0.00,0.22,0.01,0.21,0.01,0.07,1.10,0.06,0.08,,,,,,,,,,
todd,140820,Salt Lake,rain,1.70,0.43,0.38,0.00,0.23,0.00,0.64,0.01,0.09,1.18,0.12,0.17,,,,,,,,,,
todd,140823,Salt Lake,rain,1.66,0.55,0.45,0.00,0.30,0.00,0.71,0.01,0.09,1.16,0.08,0.45,,,,,,,,,,
todd,140909,Salt Lake,rain,3.05,0.32,0.17,0.01,0.20,0.00,0.81,0.01,0.12,0.76,0.08,0.37,,,,,,,,,,
todd,140922,Salt Lake,rain,1.25,0.08,0.15,0.01,0.12,0.01,0.26,0.01,0.17,1.25,0.10,0.09,,,,,,,,,,
todd,141001,Salt Lake,rain,4.22,0.29,0.21,0.01,0.22,0.00,0.32,0.01,0.12,0.88,0.11,0.17,,,,,,,,,,
todd,141012,Salt Lake,rain,0.19,0.21,0.73,0.01,1.38,0.08,3.66,0.03,0.39,6.65,0.60,4.87,,,,,,,,,,
todd,141103,Salt Lake,rain,0.55,0.72,0.89,0.02,1.69,0.03,7.95,0.01,0.75,8.09,1.88,5.50,,,,,,,,,,
todd,141115,Salt Lake,rain,1.09,0.31,0.39,0.01,0.49,0.01,1.61,0.01,0.17,3.41,0.20,1.24,,,,,,,,,,
todd,141124,Salt Lake,rain,1.94,0.20,0.10,0.01,0.11,0.00,0.32,0.01,0.09,1.24,0.07,0.20,,,,,,,,,,
todd,141223,Salt Lake,rain,4.67,0.18,0.11,0.01,0.11,0.00,0.24,0.01,0.09,0.58,0.03,0.13,,,,,,,,,,
todd,141226,Salt Lake,rain,2.32,0.19,0.10,0.01,0.16,0.00,1.21,0.00,0.09,0.51,0.00,0.63,,,,,,,,,,
todd,141229,Salt Lake,rain,1.00,0.14,0.16,0.00,0.10,0.01,0.78,0.01,0.07,0.50,0.00,0.37,,,,,,,,,,
baker,131219,Cache,snow,1.73,0.39,0.21,0.00,0.15,0.01,1.41,0.03,0.00,1.29,0.22,1.08,,,,,,,,,,
baker,131223,Cache,snow,0.73,0.71,0.22,0.01,0.14,0.04,2.20,0.01,0.07,0.20,0.40,0.96,,,,,,,,,,
baker,140111,Cache,snow,0.52,1.04,0.38,0.02,0.22,0.07,4.79,0.00,0.00,1.26,0.52,4.73,,,,,,,,,,
baker,140206,Cache,snow,0.67,0.14,0.11,0.01,0.08,0.02,0.38,0.03,0.20,2.05,0.34,0.30,,,,,,,,,,
greenstrong,140825,Cache,rain,3.74,0.91,0.42,0.01,0.27,0.00,0.94,0.01,0.31,1.19,0.38,0.18,,,,,,,,,,
greenstrong,140828,Cache,rain,0.73,0.74,0.49,0.01,0.29,0.00,0.29,0.01,0.11,0.73,0.00,0.15,,,,,,,,,,
greenstrong,140910,Cache,rain,1.86,0.41,0.29,0.01,0.25,0.37,0.67,0.01,0.22,1.55,0.29,0.54,,,,,,,,,,
greenstrong,140923,Cache,rain,0.74,0.29,0.33,0.01,0.26,0.02,0.87,0.02,0.50,2.81,0.97,0.45,,,,,,,,,,
greenstrong,141001,Cache,rain,1.79,0.28,0.10,0.00,0.07,0.00,0.22,0.01,0.09,0.55,0.05,0.15,,,,,,,,,,
greenstrong,141103,Cache,rain,0.56,0.42,0.74,0.01,3.99,1.25,25.02,0.05,2.05,10.60,10.47,17.70,,,,,,,,,,
greenstrong,141121,Cache,rain,1.78,0.09,0.22,0.02,0.28,0.20,1.23,0.01,0.27,3.20,1.87,0.55,,,,,,,,,,
greenstrong,141125,Cache,snow,2.40,0.23,0.08,0.01,0.00,0.00,0.35,0.00,0.08,0.72,0.08,0.21,,,,,,,,,,
greenstrong,141205,Cache,rain,0.25,0.55,0.59,0.02,0.45,0.35,2.04,0.02,0.42,2.52,5.75,1.38,,,,,,,,,,
greenstrong,141215,Cache,rain,0.59,0.55,0.30,0.01,0.23,0.02,1.09,0.02,0.32,3.30,0.54,0.43,,,,,,,,,,
greenstrong,150112,Cache,rain,2.73,0.59,0.30,0.03,0.00,0.00,2.59,0.01,0.23,1.76,0.07,1.72,,,,,,,,,,
greenstrong,150126,Cache,rain,2.69,0.20,0.07,0.01,0.03,0.01,0.26,0.00,0.07,0.50,0.00,0.12,,,,,,,,,,
greenstrong,150129,Cache,rain,0.20,1.15,0.12,0.01,0.09,0.00,1.90,0.01,0.44,5.24,0.61,1.24,,,,,,,,,,
greenstrong,150205,Cache,rain,1.29,0.51,0.18,0.01,0.16,0.00,0.32,0.01,0.11,1.04,0.05,0.21,,,,,,,,,,
greenstrong,150211,Cache,rain,0.33,0.29,0.21,0.01,0.63,0.00,1.98,0.01,0.22,3.36,0.13,1.70,,,,,,,,,,
mendon,140424,Cache,rain,2.05,0.32,0.36,0.00,6.33,0.02,24.22,0.04,0.96,8.91,0.80,22.47,,,,,,,,,,
mendon,140426,Cache,rain,2.08,0.28,0.16,0.00,0.25,0.01,0.49,0.00,0.15,1.67,0.07,0.52,,,,,,,,,,
mendon,140429,Cache,rain,0.54,0.30,0.10,0.00,0.06,0.01,0.25,0.00,0.17,1.57,0.02,0.07,,,,,,,,,,
mendon,140507,Cache,rain,0.28,0.72,0.77,0.00,0.77,0.15,1.90,0.16,0.48,6.05,0.71,1.22,,,,,,,,,,
mendon,140509,Cache,rain,2.00,0.41,0.14,0.02,0.14,0.01,0.40,0.01,0.09,2.24,0.10,0.18,,,,,,,,,,
mendon,140510,Cache,rain,1.99,0.36,0.06,0.00,0.10,0.00,0.17,0.00,0.03,1.41,0.05,0.00,,,,,,,,,,
mendon,140528,Cache,rain,0.46,1.14,1.72,0.01,1.62,0.11,2.59,0.13,1.06,16.11,1.62,1.62,,,,,,,,,,
mendon,140617,Cache,rain,1.75,0.31,0.54,0.00,0.59,0.05,3.21,0.02,0.39,3.87,0.70,2.16,,,,,,,,,,
mendon,140619,Cache,rain,0.77,0.81,0.21,0.01,0.18,0.00,0.28,0.02,0.17,1.69,0.14,0.19,,,,,,,,,,
mendon,140628,Cache,rain,0.82,1.01,0.64,0.01,0.50,0.02,2.18,0.15,0.34,4.41,0.44,1.53,,,,,,,,,,
mendon,140712,Cache,rain,0.97,1.18,0.53,0.01,0.77,0.33,4.13,0.04,0.64,6.49,0.96,2.49,,,,,,,,,,
mendon,140729,Cache,rain,0.40,0.89,1.39,0.01,1.00,0.13,3.66,0.07,1.49,21.34,1.59,2.16,,,,,,,,,,
mendon,140801,Cache,rain,1.23,0.61,0.17,0.01,0.18,0.00,0.09,0.02,0.22,1.42,0.07,0.27,,,,,,,,,,
mendon,140806,Cache,rain,2.44,0.70,0.28,0.01,0.13,0.09,0.46,0.01,0.17,1.22,0.29,0.21,,,,,,,,,,
mendon,140807,Cache,rain,0.52,0.59,0.00,0.00,0.00,0.00,0.01,0.00,0.20,0.62,0.12,0.34,,,,,,,,,,
mendon,140813,Cache,rain,0.26,1.36,1.12,0.03,0.78,0.25,3.84,0.17,0.83,7.68,1.17,2.15,,,,,,,,,,
mendon,140826,Cache,rain,3.72,0.56,0.32,0.01,0.20,0.04,0.33,0.01,0.22,1.45,0.12,0.20,,,,,,,,,,
mendon,140827,Cache,rain,1.32,0.48,0.33,0.01,0.19,0.01,0.29,0.01,0.13,0.70,0.12,0.14,,,,,,,,,,
mendon,140911,Cache,rain,1.77,0.17,0.41,0.01,0.28,0.00,1.06,0.03,0.39,4.50,0.26,0.65,,,,,,,,,,
mendon,140923,Cache,rain,0.66,0.52,0.53,0.01,0.33,0.09,0.76,0.04,0.44,6.24,0.43,0.47,,,,,,,,,,
mendon,140928,Cache,rain,4.49,0.31,0.15,0.00,0.14,0.02,0.43,0.01,0.23,1.78,0.35,0.24,,,,,,,,,,
mendon,141002,Cache,rain,1.49,0.48,0.14,0.01,0.11,0.00,0.25,0.01,0.12,0.83,0.06,0.11,,,,,,,,,,
mendon,141022,Cache,rain,0.08,1.95,3.12,0.01,3.75,1.07,13.33,0.14,4.20,43.85,4.41,8.18,,,,,,,,,,
mendon,141103,Cache,rain,0.30,0.17,1.43,0.01,6.97,0.19,33.49,0.12,3.03,19.07,3.11,33.45,,,,,,,,,,
mendon,141121,Cache,rain,1.44,0.41,0.32,0.01,0.38,0.02,4.63,0.02,0.36,7.36,0.20,3.01,,,,,,,,,,
mendon,141125,Cache,snow,2.05,0.25,0.08,0.00,0.08,0.01,1.79,0.01,0.16,3.79,0.04,1.19,,,,,,,,,,
mendon,141205,Cache,rain,0.28,0.63,0.85,0.03,0.95,0.01,57.04,0.08,0.67,9.06,0.57,55.25,,,,,,,,,,
mendon,141215,Cache,rain,0.63,0.51,0.24,0.01,0.22,0.04,4.54,0.03,0.29,6.98,0.20,2.76,,,,,,,,,,
mendon,150106,Cache,rain,1.34,0.39,0.26,0.01,0.28,0.02,13.19,0.05,0.39,6.44,0.21,8.35,,,,,,,,,,
mendon,150113,Cache,snow,2.84,0.19,0.13,0.00,0.12,0.01,17.08,0.01,0.16,5.55,0.05,10.72,,,,,,,,,,
mendon,150126,Cache,rain,3.06,0.37,0.28,0.01,0.00,0.00,22.43,0.02,0.31,6.96,0.11,20.99,,,,,,,,,,
mendon,150129,Cache,rain,0.26,0.49,0.27,0.03,0.09,0.00,4.55,0.04,0.60,16.94,0.21,2.73,,,,,,,,,,
mendon,150205,Cache,rain,0.66,0.55,0.22,0.01,0.34,0.00,1.47,0.04,0.36,7.81,0.14,1.07,,,,,,,,,,
mendon,150211,Cache,rain,0.33,0.40,0.37,0.01,1.06,0.00,3.61,0.05,0.43,8.01,0.25,3.11,,,,,,,,,,
ogata,140110,Cache,snow,0.50,0.64,0.23,0.02,0.14,0.03,2.88,0.03,0.03,0.71,0.18,1.21,,,,,,,,,,
ogata,140204,Cache,snow,0.23,0.24,0.13,0.01,0.04,0.02,1.10,0.02,0.10,0.83,0.09,0.71,,,,,,,,,,
ogata,140207,Cache,snow,0.97,0.45,0.32,0.01,0.07,0.01,0.81,0.01,0.07,0.41,0.07,0.47,,,,,,,,,,
tarboton,131219,Cache,snow,1.92,0.38,0.23,0.00,0.08,0.02,0.37,0.00,0.00,0.03,0.06,0.44,,,,,,,,,,
tarboton,131221,Cache,snow,0.51,0.23,0.14,0.00,0.05,0.01,0.40,0.02,0.00,0.06,0.07,0.23,,,,,,,,,,
tarboton,131223,Cache,snow,0.37,0.76,0.38,0.00,0.15,0.01,2.98,0.04,0.04,0.16,0.10,0.36,,,,,,,,,,
tarboton,140109,Cache,snow,1.01,0.55,0.35,0.00,0.24,0.02,3.55,0.02,0.04,0.77,0.18,1.22,,,,,,,,,,
tarboton,140204,Cache,snow,0.36,0.27,0.14,0.00,0.05,0.01,1.93,0.01,0.08,0.67,0.07,1.23,,,,,,,,,,
tarboton,140206,Cache,snow,0.65,0.48,0.27,0.01,0.05,0.00,1.11,0.01,0.02,0.56,0.05,0.57,,,,,,,,,,
tarboton,140208,Cache,snow,1.17,0.53,0.37,0.01,0.20,0.01,0.49,0.00,0.02,0.64,0.07,0.28,,,,,,,,,,
tonygrove,140424,Cache,rain,1.06,0.43,0.77,0.00,11.77,0.11,24.41,0.00,1.49,10.20,1.11,29.29,,,,,,,,,,
tonygrove,140426,Cache,rain,2.07,0.09,0.11,0.00,0.20,0.00,0.32,0.01,0.13,2.15,0.03,0.35,,,,,,,,,,
tonygrove,140428,Cache,rain,0.62,0.45,0.11,0.00,0.24,0.00,0.28,0.00,0.11,0.87,0.09,0.11,,,,,,,,,,
tonygrove,140507,Cache,rain,0.94,0.33,0.23,0.00,0.23,0.01,0.36,0.01,0.16,1.43,0.12,0.27,,,,,,,,,,
tonygrove,140508,Cache,rain,0.51,0.28,0.10,0.00,0.06,0.00,0.07,0.00,0.05,0.42,0.06,0.06,,,,,,,,,,
tonygrove,140509,Cache,rain,2.08,0.10,0.08,0.00,0.12,0.00,0.09,0.00,0.02,0.43,0.03,0.27,,,,,,,,,,
tonygrove,140511,Cache,rain,1.00,0.24,0.08,0.00,0.11,0.00,0.07,0.00,0.03,0.33,0.02,0.05,,,,,,,,,,
tonygrove,140515,Cache,rain,0.10,0.41,0.31,0.00,0.53,0.00,0.26,0.03,0.11,0.80,0.16,0.18,,,,,,,,,,
tonygrove,140529,Cache,rain,1.13,0.61,0.47,0.00,0.41,0.01,0.43,0.02,0.18,1.64,0.20,0.32,,,,,,,,,,
tonygrove,140616,Cache,rain,0.37,1.29,2.42,0.02,2.48,1.12,12.99,0.08,1.16,9.46,3.10,9.24,,,,,,,,,,
tonygrove,140617,Cache,rain,1.30,0.13,0.11,0.00,0.10,0.04,0.37,0.01,0.13,0.89,0.09,0.23,,,,,,,,,,
tonygrove,140620,Cache,rain,0.94,0.47,0.20,0.01,0.12,0.00,0.51,0.01,0.06,0.70,0.08,0.13,,,,,,,,,,
tonygrove,140629,Cache,rain,2.01,0.28,0.17,0.00,0.10,0.00,0.36,0.01,0.10,0.78,0.14,0.18,,,,,,,,,,
tonygrove,140712,Cache,rain,0.79,0.60,0.47,0.01,0.37,0.18,2.56,0.04,0.40,2.51,0.97,1.48,,,,,,,,,,
tonygrove,140730,Cache,rain,2.01,0.35,0.38,0.01,0.25,0.06,0.64,0.02,0.14,1.19,0.37,0.31,,,,,,,,,,
tonygrove,140806,Cache,rain,2.02,0.61,0.24,0.02,0.11,0.01,0.37,0.01,0.03,0.30,0.07,0.10,,,,,,,,,,
tonygrove,140808,Cache,rain,0.30,0.33,0.24,0.00,0.00,0.01,0.57,0.01,0.05,0.38,0.07,0.17,,,,,,,,,,
tonygrove,140813,Cache,rain,2.01,0.54,0.31,0.01,0.20,0.00,0.76,0.01,0.12,0.59,0.15,0.41,,,,,,,,,,
tonygrove,140821,Cache,rain,1.76,0.36,0.30,0.00,0.17,0.02,0.39,0.01,0.10,0.67,0.12,0.17,,,,,,,,,,
tonygrove,140826,Cache,rain,3.73,0.37,0.29,0.00,0.16,0.00,0.14,0.01,0.04,0.34,0.06,0.07,,,,,,,,,,
tonygrove,140829,Cache,rain,0.52,0.37,0.36,0.00,0.18,0.06,0.50,0.01,0.06,0.41,0.14,0.10,,,,,,,,,,
tonygrove,140911,Cache,rain,1.20,0.49,0.46,0.01,0.28,0.06,0.95,0.02,0.18,1.35,0.26,0.57,,,,,,,,,,
tonygrove,140923,Cache,rain,1.96,0.24,0.21,0.00,0.02,0.00,0.27,0.01,0.00,0.77,0.16,0.16,,,,,,,,,,
tonygrove,140929,Cache,rain,4.49,0.08,0.07,0.00,0.05,0.02,0.06,0.00,0.05,0.27,0.05,0.04,,,,,,,,,,
tonygrove,141002,Cache,rain,2.08,0.21,0.09,0.00,0.06,0.01,0.09,0.00,0.04,0.35,0.03,0.06,,,,,,,,,,
tonygrove,141022,Cache,rain,0.15,4.12,1.88,0.09,2.10,0.33,5.47,0.02,1.63,10.09,1.17,4.51,,,,,,,,,,
tonygrove,141103,Cache,rain,1.22,0.45,0.36,0.01,1.10,0.00,4.02,0.02,0.41,4.05,0.27,3.19,,,,,,,,,,
tonygrove,141121,Cache,rain,1.34,0.09,0.11,0.00,0.10,0.00,0.18,0.00,0.04,0.49,0.05,0.12,,,,,,,,,,
tonygrove,141125,Cache,snow,0.78,0.07,0.04,0.00,0.08,0.00,0.25,0.00,0.04,0.40,0.07,0.18,,,,,,,,,,
tonygrove,141205,Cache,rain,3.39,0.13,0.09,0.00,0.00,0.00,0.21,0.00,0.11,0.98,0.04,0.19,,,,,,,,,,
USU,140109,Cache,snow,0.69,0.42,0.33,0.00,0.14,0.02,3.05,0.02,0.11,0.82,0.09,0.86,,,,,,,,,,
USU,140426,Cache,rain,2.06,0.23,0.12,0.00,0.23,0.02,2.14,0.09,0.08,0.84,0.05,0.73,,,,,,,,,,
USU,140428,Cache,rain,0.95,0.29,0.08,0.00,0.07,0.01,0.13,0.00,0.04,0.39,0.02,0.06,,,,,,,,,,
USU,140507,Cache,rain,0.49,0.75,0.43,0.01,0.53,0.07,0.90,0.00,0.28,2.90,0.63,0.58,,,,,,,,,,
USU,140509,Cache,rain,1.19,0.34,0.17,0.02,0.14,0.01,0.26,0.02,0.15,1.49,0.29,0.09,,,,,,,,,,
USU,140510,Cache,rain,1.29,0.31,0.07,0.00,0.11,0.00,0.36,0.00,0.12,0.62,0.12,0.15,,,,,,,,,,
USU,140528,Cache,rain,0.08,4.33,2.03,0.06,3.30,0.00,9.68,0.12,1.95,7.04,21.42,2.47,,,,,,,,,,
USU,140617,Cache,rain,1.68,0.68,0.60,0.03,0.93,0.02,4.23,0.04,0.67,4.77,2.41,2.86,,,,,,,,,,
USU,140618,Cache,rain,0.35,0.92,0.25,0.01,0.19,0.00,0.26,0.01,0.13,0.69,0.12,0.18,,,,,,,,,,
USU,140628,Cache,rain,0.80,0.93,0.56,0.01,0.45,0.00,1.59,0.00,0.34,2.36,0.68,1.12,,,,,,,,,,
USU,140711,Cache,rain,1.14,0.01,0.00,0.00,0.59,0.00,5.93,0.02,1.02,4.57,6.22,2.89,,,,,,,,,,
USU,140730,Cache,rain,1.38,0.08,0.36,0.00,0.33,0.49,1.11,0.01,0.59,3.70,2.44,0.60,,,,,,,,,,
USU,140806,Cache,rain,0.59,0.41,0.63,0.00,0.34,0.14,2.38,0.03,0.54,2.45,2.13,0.31,,,,,,,,,,
USU,140807,Cache,rain,0.65,0.33,0.16,0.00,0.10,0.00,0.76,0.01,0.17,0.50,0.11,0.32,,,,,,,,,,
USU,140813,Cache,rain,0.16,0.83,1.11,0.01,1.10,0.10,12.85,0.03,1.06,4.25,0.00,6.57,,,,,,,,,,
USU,140825,Cache,rain,3.75,0.42,0.30,0.00,0.20,0.00,0.36,0.01,0.15,1.01,0.12,0.20,,,,,,,,,,
USU,140828,Cache,rain,0.88,0.48,0.40,0.01,0.26,0.00,0.25,0.01,0.11,0.79,0.07,0.12,,,,,,,,,,
USU,140911,Cache,rain,1.82,0.56,0.43,0.01,0.30,0.01,0.90,0.01,0.23,1.74,0.32,0.49,,,,,,,,,,
USU,140923,Cache,rain,0.54,0.19,0.23,0.00,0.33,0.22,4.38,0.07,0.78,3.97,2.78,0.86,,,,,,,,,,
USU,140929,Cache,rain,4.49,0.09,0.08,0.00,0.10,0.00,0.48,0.01,0.16,0.93,0.47,0.14,,,,,,,,,,
USU,141002,Cache,rain,1.82,0.19,0.09,0.00,0.11,0.01,0.25,0.01,0.10,0.92,0.37,0.06,,,,,,,,,,
USU,141022,Cache,rain,0.09,0.32,2.32,0.01,11.08,0.13,20.56,0.06,2.90,25.14,8.94,7.08,,,,,,,,,,
USU,141103,Cache,rain,0.56,0.00,0.33,0.00,5.01,0.42,24.67,0.04,3.23,12.38,8.01,17.33,,,,,,,,,,
USU,141121,Cache,rain,1.17,0.12,0.36,0.01,0.84,0.23,2.79,0.02,0.79,6.56,2.07,1.11,,,,,,,,,,
USU,141125,Cache,snow,2.77,0.18,0.07,0.01,0.08,0.02,0.38,0.00,0.16,2.70,0.19,0.21,,,,,,,,,,
USU,141205,Cache,rain,0.30,0.19,0.39,0.01,0.43,0.00,1.67,0.01,0.40,4.92,0.51,1.02,,,,,,,,,,
USU,141215,Cache,rain,0.56,0.27,0.08,0.01,0.07,0.01,0.35,0.00,0.33,3.06,0.41,0.43,,,,,,,,,,
